Product,Skin Type,Concern,Price
Hydrating Cleanser,Dry,Dryness,500
Oil-Free Moisturizer,Oily,Oiliness,700
Acne Control Serum,Combination,Acne,1200
Sunscreen SPF 50,All,Sun Protection,900
Vitamin C Serum,All,Dullness,800
Gel Moisturizer,Oily,Dryness,800
Retinol Night Cream,All,Aging,1800
Hyaluronic Acid Serum,All,Hydration,1400
Charcoal Face Wash,Oily,Oiliness,600
Exfoliating Scrub,All,Exfoliation,750
Aloe Vera Gel,All,Hydration,500
Tea Tree Face Wash,Oily,Acne,700
SPF 30 Day Cream,Dry,Sun Protection,1000
SPF 50 Tinted Sunscreen,All,Sun Protection,1800
Collagen Boost Serum,All,Aging,2000
Anti-Aging Cream,All,Aging,2200
Brightening Face Mask,All,Brightening,1300
Cica Soothing Cream,Sensitive,Sensitive Skin,1100
Niacinamide Serum,All,Oiliness,900
Salicylic Acid Cleanser,Oily,Acne,800
Pore Minimizing Toner,All,Pores,950
Rose Water Mist,All,Hydration,700
Green Tea Moisturizer,Oily,Oiliness,850
Hydrating Sleeping Mask,Dry,Hydration,1200
Ceramide Repair Cream,Sensitive,Barrier Repair,1400
Azelaic Acid Treatment,All,Acne,1100
BHA Exfoliant,Oily,Exfoliation,1300
Hydrocolloid Pimple Patches,All,Acne,300
Acne Spot Treatment,Acne-Prone,Acne,950
Oil Control Face Wash,Acne-Prone,Oiliness,700
Lightweight Gel Cream,Normal,Hydration,800
SPF 50 Matte Sunscreen,Normal,Sun Protection,1300
Centella Soothing Gel,Sensitive,Sensitive Skin,1000
AHA Glow Serum,Acne-Prone,Exfoliation,1200
Hydrating Toner,Normal,Hydration,850
Daily Moisturizing Lotion,All,Dryness,900
